ลำดับ,ลำดับ,ชื่อเพลง,ชื่อศิลปิน,Link เพลง (เก่า),เวลา (เก่า),ชื่อคนเสนอ,เลือก (เก่า),หมายเหตุ (เก่า),Link เพลง,ช่วงเวลาเพลง เริ่ม,ช่วงเวลาเพลง จบ,ชื่อผู้เสนอเพลง + ชั้นปี,ความคืบหน้า,หมายเหตุ,,รวมเลือก (G),85
65,107,DALLA DALLA,ITZY ,https://youtu.be/pNfTK39k55U?si=7AKd5TEA5EP746KF,0.54-1.42,เจ้าหญิง ปี 2,1,,https://www.youtube.com/watch?v=pNfTK39k55U,00:00:54,00:01:42,เจ้าหญิง ปี 2,ไม่ได้เริ่ม,,,,
66,113,Sheesh,BABYMONSTER,https://www.youtube.com/watch?v=2wA_b6YHjqQ&list=RD2wA_b6YHjqQ&start_radio=1,0.24-0.53,น้องหนาว ปี2,1,,https://www.youtube.com/watch?v=2wA_b6YHjqQ,00:00:24,00:00:53,น้องหนาว ปี2,ไม่ได้เริ่ม,,,,
67,114,like JENNIE,JENNIE,https://youtu.be/aS7al94FVbk?si=WLIQ3fJ5R3NesAZ2,0.17 - 0.58,เจ้าหญิง ปี 2,1,,https://www.youtube.com/watch?v=aS7al94FVbk,00:00:17,00:00:58,เจ้าหญิง ปี 2,ไม่ได้เริ่ม,,,,
68,115,AS IF IT'S YOUR LAST,BLACKPINK,https://www.youtube.com/watch?v=Amq-qlqbjYA&list=RDAmq-qlqbjYA&start_radio=1,0.54-1.37,น้องหนาว ปี2,1,,https://www.youtube.com/watch?v=Amq-qlqbjYA,00:00:54,00:01:37,น้องหนาว ปี2,ไม่ได้เริ่ม,,,,
69,116,Girls Never Die,tripleS,https://www.youtube.com/watch?v=2tda_TCjz8w&list=RD2tda_TCjz8w&start_radio=1,0.16-0.41,น้องหนาว ปี2,1,,https://www.youtube.com/watch?v=2tda_TCjz8w,00:00:16,00:00:41,น้องหนาว ปี2,ไม่ได้เริ่ม,,,,
70,117,STANDING NEXT TO YOU,JUNGKOOK,https://youtu.be/UNo0TG9LwwI?si=F4pUcNEr6Q2B5d9o,2.48-3.17,ภพ ปี2,1,,https://www.youtube.com/watch?v=UNo0TG9LwwI,00:02:48,00:03:17,ภพ ปี2,ไม่ได้เริ่ม,,,,
71,120,Bouncy,Ateez,https://youtu.be/U0G5OA6ZH5w,1:08 - 1:45,ไหน ปี3,1,,https://www.youtube.com/watch?v=U0G5OA6ZH5w,00:01:08,00:01:45,ไหน ปี3,ไม่ได้เริ่ม,,,,
72,123,Hype Boy,NewJeans,https://www.youtube.com/watch?v=11cta61wi0g&list=RD11cta61wi0g&start_radio=1,0.38-1.32,น้องหนาว ปี2,1,,https://www.youtube.com/watch?v=11cta61wi0g,00:00:38,00:01:32,น้องหนาว ปี2,ไม่ได้เริ่ม,,,,
73,125,The Eve,EXO,https://youtu.be/gK8YC0nxNe0?si=nOoovv8NcJqGWQ4x,0.28-1.11,เจ้าหญิง ปี 2,1,,https://www.youtube.com/watch?v=gK8YC0nxNe0,00:00:28,00:01:11,เจ้าหญิง ปี 2,ไม่ได้เริ่ม,,,,
74,126,Feel Special,TWICE ,https://youtu.be/3ymwOvzhwHs?si=sld6HSN0crPDJOHR,0.35-1.25,เจ้าหญิง ปี 2,1,,https://www.youtube.com/watch?v=3ymwOvzhwHs,00:00:35,00:01:25,เจ้าหญิง ปี 2,ไม่ได้เริ่ม,,,,
75,127,DRIP,BABYMONSTER,https://youtu.be/Zp-Jhuhq0bQ?si=sBHTEFv_Yo6edx38,0.40-1.12,เจ้าหญิง ปี 2,1,,https://www.youtube.com/watch?v=Zp-Jhuhq0bQ,00:00:40,00:01:12,เจ้าหญิง ปี 2,ไม่ได้เริ่ม,,,,
76,129,Baby Tee,GALCHANIE ,https://youtu.be/FLwdJs_aMrs?si=Li7AKYSIgsX1tlv1,1.09-2.00,เจ้าหญิง ปี 2,1,,https://www.youtube.com/watch?v=FLwdJs_aMrs,00:01:09,00:02:00,เจ้าหญิง ปี 2,ไม่ได้เริ่ม,,,,
77,130,Flower,Jisoo,https://youtu.be/4XZz3WXRw0A?si=cAaqGq2bF9pF79sM,0.55-1.18,ภพ ปี2,1,,https://www.youtube.com/watch?v=4XZz3WXRw0A,00:00:55,00:01:18,ภพ ปี2,ไม่ได้เริ่ม,,,,
78,131,crazy form,ateez,https://youtu.be/9t57C7NcjWo,1:00 - 1:27,ไหน ปี3,1,,https://www.youtube.com/watch?v=9t57C7NcjWo,00:01:00,00:01:27,ไหน ปี3,ไม่ได้เริ่ม,,,,
79,132,Sticky,KISS OF LIFE,https://www.youtube.com/watch?v=IajeQM00yfE&list=RDIajeQM00yfE&start_radio=1,0.48-1.14,น้องหนาว ปี2,1,,https://www.youtube.com/watch?v=IajeQM00yfE,00:00:48,00:01:14,น้องหนาว ปี2,ไม่ได้เริ่ม,,,,
80,133,Into The New World,Girls' Generation,https://www.youtube.com/watch?v=0k2Zzkw_-0I&list=RD0k2Zzkw_-0I&start_radio=1,1.33-2.15,น้องหนาว ปี2,1,,https://www.youtube.com/watch?v=0k2Zzkw_-0I,00:01:33,00:02:15,น้องหนาว ปี2,ไม่ได้เริ่ม,,,,
